Movie,URL,Year,Director,Cast,Genre
The Last Exorcism,https://en.wikipedia.org/wiki/The_Last_Exorcism,2010,Daniel Stamm,"Patrick Fabian, Iris Bahr, Louis Herthum, Ashley Bell, Jamie Alyson Caulde, Tony Bentley, Shanna Forrestall, Allen Boudreaux, Caleb Landry Jones",Horror
The Last Song,https://en.wikipedia.org/wiki/The_Last_Song_(film),2010,Julie Anne Robinson,"Miley Cyrus, Liam Hemsworth, Bobby Coleman, Kelly Preston, Greg Kinnear","Dramedy, Romance"
Leap Year,https://en.wikipedia.org/wiki/Leap_Year_(2010_film),2010,Anand Tucker,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow",Romantic comedy
Legend of the Guardians: The Owls of Ga'Hoole,https://en.wikipedia.org/wiki/Legend_of_the_Guardians:_The_Owls_of_Ga%27Hoole,2010,Zack Snyder,"Jim Sturgess, Geoffrey Rush, Emily Barclay, Anthony LaPaglia, David Wenham, Hugo Weaving, Ryan Kwanten, Helen Mirren, Sam Neill, Joel Edgerton, Miriam Margolyes, Richard Roxburgh, Deborra-Lee Furness, Abbie Cornish, Leigh Whannell, Angus Sampson, Bill Hunter, Sacha Horler, Essie Davis, Barry Otto",Fantasy
Legendary,https://en.wikipedia.org/wiki/Legendary_(film),2010,Mel Damski,"Patricia Clarkson, John Cena, Devon Graye, Madeleine Martin, Tyler Posey, Danny Glover",Drama
Legion,https://en.wikipedia.org/wiki/Legion_(2010_film),2010,Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Charles S. Dutton, Adrianne Palicki, Kevin Durand, Doug Jones, Willa Holland, Kate Walsh, Dennis Quaid","Action thriller, Fantasy"
Let Me In,https://en.wikipedia.org/wiki/Let_Me_In_(film),2010,Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Elias Koteas, Richard Jenkins",Horror
Letters to God,https://en.wikipedia.org/wiki/Letters_to_God,2010,David Nixon,"Robyn Lively, Jeffrey Johnson, Tanner Maguire, Bailee Madison, Ralph Waite",Drama
Letters to Juliet,https://en.wikipedia.org/wiki/Letters_to_Juliet,2010,Gary Winick,"Amanda Seyfried, Chris Egan, Vanessa Redgrave, Gael García Bernal, Franco Nero",Romantic drama
Life as We Know It,https://en.wikipedia.org/wiki/Life_as_We_Know_It_(film),2010,Greg Berlanti,"Katherine Heigl, Josh Duhamel",Romantic comedy
Like Dandelion Dust,https://en.wikipedia.org/wiki/Like_Dandelion_Dust,2010,Jon Gunn,"Mira Sorvino, Barry Pepper, Cole Hauser, Kate Levering, Maxwell Perry Cotton, L. Scott Caldwell",Drama
Little Fockers,https://en.wikipedia.org/wiki/Little_Fockers,2010,Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Blythe Danner, Teri Polo, Jessica Alba, Laura Dern, Harvey Keitel, Dustin Hoffman, Barbra Streisand",Comedy
The Losers,https://en.wikipedia.org/wiki/The_Losers_(film),2010,Sylvain White,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Oscar Janaeda, Jason Patric","Action comedy, Superhero"
Lottery Ticket,https://en.wikipedia.org/wiki/Lottery_Ticket_(film),2010,Erik White,"Bow Wow, Brandon T. Jackson, Naturi Naughton, Keith David, Charlie Murphy, Gbenga Akinnagbe, Terry Crews, Bill Bellamy, Mike Epps, T-Pain, Loretta Devine, Ice Cube",Comedy
Love Ranch,https://en.wikipedia.org/wiki/Love_Ranch,2010,Taylor Hackford,"Helen Mirren, Joe Pesci, Sergio Peris-Mencheta, Gina Gershon, Bryan Cranston",Drama
Love & Other Drugs,https://en.wikipedia.org/wiki/Love_%26_Other_Drugs,2010,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht, Judy Greer, Jill Clayburgh",Comedy-drama
MacGruber,https://en.wikipedia.org/wiki/MacGruber_(film),2010,Jorma Taccone,"Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph, Derek Mears, Val Kilmer, Mark Henry, Chris Jericho, Glenn Jacobs, Paul Wight, Montel Vontavious Porter, The Great Khali","Action-comedy, Parody"
Machete,https://en.wikipedia.org/wiki/Machete_(2010_film),2010,"Robert Rodriguez, Ethan Maniquis","Danny Trejo, Michelle Rodriguez, Cheech Marin, Jeff Fahey, Lindsay Lohan, Don Johnson, Jessica Alba, Steven Seagal, Robert De Niro, Daryl Sabara, Tom Savini",Action
Marmaduke,https://en.wikipedia.org/wiki/Marmaduke_(film),2010,Tom Dey,"Owen Wilson, George Lopez, Lee Pace, Judy Greer, David Walliams, William H. Macy, Steve Coogan, Sam Elliott, Fergie, Jeremy Piven, Christopher Mintz-Plasse, Emma Stone, Kiefer Sutherland, Damon Wayans, Jr., Marlon Wayans","Family, Live-action"
Marwencol,https://en.wikipedia.org/wiki/Marwencol,2010,Jeff Malmberg,"After a vicious attack leaves him brain-damaged and broke; Mark Hogancamp seeks recovery in ""Marwencol"" a 1/6th scale World War II-era town he creates in his backyard.",Documentary
Megamind,https://en.wikipedia.org/wiki/Megamind,2010,Tom McGrath,"Will Ferrell, Tina Fey, Jonah Hill, David Cross, Brad Pitt","Comedy, Superhero"
Middle Men,https://en.wikipedia.org/wiki/Middle_Men_(film),2010,George Gallo,"Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan, Jacinda Barrett, Laura Ramsey, Terry Crews, Rade Šerbedžija, Kelsey Grammer, Kevin Pollak, Robert Forster","Comedy-drama, Crime"
Mirrors 2,https://en.wikipedia.org/wiki/Mirrors_2,2010,Víctor Garciá,"Nick Stahl, Emmanuelle Vaugier, Evan Jones, Christy Carlson Romano, William Katt, Lawrence Turner, Stephanie Honoré, Jon Michael Davis, Jennifer Sipes, Ann Mckenzie",Horror
Morning Glory,https://en.wikipedia.org/wiki/Morning_Glory_(2010_film),2010,Roger Michell,"Rachel McAdams, Harrison Ford, Diane Keaton, Patrick Wilson, Jeff Goldblum",Comedy
Mother and Child,https://en.wikipedia.org/wiki/Mother_and_Child_(film),2010,Rodrigo García,"Naomi Watts, Annette Bening, Kerry Washington, Jimmy Smits, Samuel L. Jackson, S. Epatha Merkerson, Cherry Jones, Elpidia Carrillo, Shareeka Epps",Drama
My Soul to Take,https://en.wikipedia.org/wiki/My_Soul_to_Take,2010,Wes Craven,"Max Thieriot, Denzel Whitaker, Raúl Esparza, Shareeka Epps, Zena Grey, Trevor St. John",Horror
Nanny McPhee Returns,https://en.wikipedia.org/wiki/Nanny_McPhee_Returns,2010,Susanna White,"Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith, Ralph Fiennes, Ewan McGregor","Family, Fantasy"
Never Let Me Go,https://en.wikipedia.org/wiki/Never_Let_Me_Go_(2010_film),2010,Mark Romanek,"Carey Mulligan, Andrew Garfield, Keira Knightley",Drama
The Next Three Days,https://en.wikipedia.org/wiki/The_Next_Three_Days,2010,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, Olivia Wilde, Liam Neeson",Thriller
Night Catches Us,https://en.wikipedia.org/wiki/Night_Catches_Us,2010,Tanya Hamilton,"Anthony Mackie, Kerry Washington",Drama
A Nightmare on Elm Street,https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street_(2010_film),2010,Samuel Bayer,"Jackie Earle Haley, Rooney Mara, Thomas Dekker, Kellan Lutz, Katie Cassidy, Connie Britton, Clancy Brown",Horror
The Other Guys,https://en.wikipedia.org/wiki/The_Other_Guys,2010,Adam McKay,"Samuel L. Jackson, Mark Wahlberg, Will Ferrell, Dwayne Johnson, Eva Mendes, Anne Heche, Michael Keaton, Steve Coogan, Ray Stevenson",Action comedy
Our Family Wedding,https://en.wikipedia.org/wiki/Our_Family_Wedding,2010,Rick Famuyiwa,"Forest Whitaker, America Ferrera, Carlos Mencia, Regina King, Lance Gross",Comedy
Paper Man,https://en.wikipedia.org/wiki/Paper_Man_(2009_film),2010,Kieran and Michelle Mulroney,"Jeff Daniels, Emma Stone, Ryan Reynolds, Lisa Kudrow",Comedy-drama
Paranormal Activity 2,https://en.wikipedia.org/wiki/Paranormal_Activity_2,2010,Tod Williams,"Katie Featherston, Micah Sloat, Sprague Grayden, Molly Ephraim",Horror
Passion Play,https://en.wikipedia.org/wiki/Passion_Play_(film),2010,Mitch Glazer,"Mickey Rourke, Megan Fox, Bill Murray, Kelly Lynch",Drama
Percy Jackson & the Olympians: The Lightning Thief,https://en.wikipedia.org/wiki/Percy_Jackson_%26_the_Olympians:_The_Lightning_Thief,2010,Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Rosario Dawson, Steve Coogan, Uma Thurman, Pierce Brosnan, Sean Bean","Adventure, Family"
The Perfect Game,https://en.wikipedia.org/wiki/The_Perfect_Game,2010,William Dear,"Clifton Collins, Jr., Cheech Marin, Emilie de Ravin, Moises Arias, Jake T. Austin, Jansen Panettiere, Lou Gossett, Jr., Bruce McGill",Drama
Piranha 3-D,https://en.wikipedia.org/wiki/Piranha_3-D,2010,Alexandre Aja,"Elisabeth Shue, Adam Scott, Jerry O'Connell, Ving Rhames, Jessica Szohr, Steven R. McQueen, Christopher Lloyd, Richard Dreyfuss, Kelly Brook, Riley Steele, Ricardo Chavira, Paul Sheer",Horror
Please Give,https://en.wikipedia.org/wiki/Please_Give,2010,Nicole Holofcener,"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Ann Guilbert, Kevin Corrigan, Sarah Steele",Dark comedy
Preacher's Kid,https://en.wikipedia.org/wiki/Preacher%27s_Kid_(film),2010,Stan Foster,"LeToya Luckett, Rae'Ven Larrymore Kelly, Kierra Sheard, Clifton Powell, Gregory Alan Williams",Drama
Predators,https://en.wikipedia.org/wiki/Predators_(film),2010,Nimród Antal,"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins, Oleg Taktarov, Louis Ozawa Changchien, Mahershalalhashbaz Ali, Laurence Fishburne, Danny Trejo",Sci-fi horror
Prince of Persia: The Sands of Time,https://en.wikipedia.org/wiki/Prince_of_Persia:_The_Sands_of_Time_(film),2010,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina","Action-adventure, Fantasy"
 Rabbit Hole,https://en.wikipedia.org/wiki/Rabbit_Hole_(film),2010,John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Tammy Blanchard, Miles Teller, Giancarlo Esposito, Jon Tenney, Sandra Oh",Drama
Ramona and Beezus,https://en.wikipedia.org/wiki/Ramona_and_Beezus,2010,Elizabeth Allen,"Joey King, Selena Gomez, John Corbett, Bridget Moynahan, Ginnifer Goodwin, Josh Duhamel, Sandra Oh","Comedy, Family"
The Rebound,https://en.wikipedia.org/wiki/The_Rebound,2010,Bart Freundlich,"Catherine Zeta-Jones, Justin Bartha, Jordan Carlos, Kelly Gould, Art Garfunkel",romantic comedy
Red,https://en.wikipedia.org/wiki/Red_(2010_film),2010,Robert Schwentke,"Bruce Willis, Morgan Freeman, John Malkovich, Helen Mirren, Karl Urban, Mary-Louise Parker, Brian Cox, Julian McMahon, Richard Dreyfuss",Action comedy
Remember Me,https://en.wikipedia.org/wiki/Remember_Me_(2010_film),2010,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Chris Cooper, Lena Olin, Pierce Brosnan",Romantic drama
Repo Men,https://en.wikipedia.org/wiki/Repo_Men,2010,Miguel Sapochnik,"Jude Law, Forest Whitaker, Liev Schreiber, Alice Braga, Carice van Houten, Chandler Canterbury","Action thriller, Science fiction"
Resident Evil: Afterlife,https://en.wikipedia.org/wiki/Resident_Evil:_Afterlife,2010,Paul W. S. Anderson,"Milla Jovovich, Ali Larter, Kim Coates, Shawn Roberts, Sergio Peris-Mencheta, Spencer Locke, Boris Kodjoe, Wentworth Miller","Action horror, Science fiction"
Robin Hood,https://en.wikipedia.org/wiki/Robin_Hood_(2010_film),2010,Ridley Scott,"Russell Crowe, Cate Blanchett, William Hurt, Mark Strong, Mark Addy, Oscar Isaac, Danny Huston, Eileen Atkins, Max von Sydow",Action-adventure
The Romantics,https://en.wikipedia.org/wiki/The_Romantics_(film),2010,Galt Niederhoffer,"Katie Holmes, Josh Duhamel, Anna Paquin, Malin Akerman, Adam Brody, Dianna Agron, Jeremy Strong, Rebecca Lawrence, Candice Bergen, Elijah Wood",Romantic comedy
The Runaways,https://en.wikipedia.org/wiki/The_Runaways_(film),2010,Floria Sigismondi,"Kristen Stewart, Dakota Fanning, Michael Shannon, Scout Taylor-Compton, Alia Shawkat","Biography, Drama"
Saint John of Las Vegas,https://en.wikipedia.org/wiki/Saint_John_of_Las_Vegas,2010,Huế Rhodes,"Steve Buscemi, Romany Malco, Peter Dinklage, Emmanuelle Chriqui, Tim Blake Nelson, Sarah Silverman",Comedy
Salt,https://en.wikipedia.org/wiki/Salt_(2010_film),2010,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",Action thriller
Saw VII,https://en.wikipedia.org/wiki/Saw_VII,2010,Kevin Greutert,"Tobin Bell, Costas Mandylor, Cary Elwes, Betsy Russell, Sean Patrick Flannery",Horror
Scott Pilgrim vs. the World,https://en.wikipedia.org/wiki/Scott_Pilgrim_vs._the_World,2010,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Alison Pill, Mark Webber, Johnny Simmons, Brandon Routh, Jason Schwartzman, Mae Whitman, Brie Larson, Aubrey Plaza, Tennessee Thomas","Action, Romantic comedy"
Secretariat,https://en.wikipedia.org/wiki/Secretariat_(film),2010,Randall Wallace,"Diane Lane, John Malkovich, Dylan Walsh, James Cromwell, Kevin Connelly, Scott Glenn","Bio-pic, Drama"
Sex and the City 2,https://en.wikipedia.org/wiki/Sex_and_the_City_2,2010,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, John Corbett, Chris Noth, David Eigenberg, Evan Handler, Jason Lewis, Lynn Cohen",Romantic comedy
She's Out of My League,https://en.wikipedia.org/wiki/She%27s_Out_of_My_League,2010,Jim Field Smith,"Jay Baruchel, Alice Eve, T. J. Miller, Mike Vogel, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane",Romantic comedy
Shrek Forever After,https://en.wikipedia.org/wiki/Shrek_Forever_After,2010,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn, Julie Andrews, John Cleese","Family, Fantasy"
Shutter Island,https://en.wikipedia.org/wiki/Shutter_Island_(film),2010,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Michelle Williams, Patricia Clarkson, Emily Mortimer, Ted Levine, John Carroll Lynch, Elias Koteas, Jackie Earle Haley, Max von Sydow","Crime thriller, Drama"
Skyline,https://en.wikipedia.org/wiki/Skyline_(film),2010,Brothers Strause,"Eric Balfour, Scottie Thompson, Donald Faison, David Zayas, Brittany Daniel, Neil Hopkins","Sci-fi, Thriller"
Small Town Saturday Night,https://en.wikipedia.org/wiki/Small_Town_Saturday_Night_(film),2010,Ryan Craig,"Chris Pine, Shawn Christian, John Hawkes, Bre Blair, Muse Watson, Robert Pine, Brent Briscoe, Lin Shaye",Drama
The Social Network,https://en.wikipedia.org/wiki/The_Social_Network,2010,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, Brenda Song, Rooney Mara, Dustin Fitzsimons, Joseph Mazzello, Rashida Jones",Drama
Solitary Man,https://en.wikipedia.org/wiki/Solitary_Man_(film),2010,"Brian Koppelman, David Levien","Michael Douglas, Mary-Louise Parker, Jenna Fischer, Jesse Eisenberg, Imogen Poots, Susan Sarandon, Danny DeVito",Dramedy
Somewhere,https://en.wikipedia.org/wiki/Somewhere_(2010_film),2010,Sofia Coppola,"Stephen Dorff, Elle Fanning, Benicio del Toro, Michelle Monaghan, Chris Pontius, Simona Ventura",Drama
The Sorcerer's Apprentice,https://en.wikipedia.org/wiki/The_Sorcerer%27s_Apprentice_(2010_film),2010,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci","Adventure, Comedy, Fantasy"
Splice,https://en.wikipedia.org/wiki/Splice_(film),2010,Vincenzo Natali,"Adrien Brody, Sarah Polley",Sci-fi
The Spy Next Door,https://en.wikipedia.org/wiki/The_Spy_Next_Door,2010,Brian Levant,"Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley, Magnús Scheving, Billy Ray Cyrus, George Lopez","Action comedy, Family"
Step Up 3D,https://en.wikipedia.org/wiki/Step_Up_3D,2010,Jon Chu,"Rick Malambri, Adam G. Sevani, Sharni Vinson, Alyson Stoner","Dance, Drama, Romance"
Stone,https://en.wikipedia.org/wiki/Stone_(2010_film),2010,John Curran,"Robert De Niro, Edward Norton, Milla Jovovich",Thriller
The Switch,https://en.wikipedia.org/wiki/The_Switch_(2010_film),2010,Josh Gordon and Will Speck,"Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum, Juliette Lewis",Romantic comedy
Takers,https://en.wikipedia.org/wiki/Takers,2010,John Luessenhop,"Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, Zoe Saldana","Action, Crime drama"
Tangled,https://en.wikipedia.org/wiki/Tangled_(2010_film),2010,"Byron Howard, Nathan Greno","Mandy Moore, Zachary Levi, Donna Murphy, Brad Garrett, Ron Perlman, M. C. Gainey, Jeffrey Tambor, Peter Sallis, Paul F. Tompkins","Animated, Family"
The Tempest,https://en.wikipedia.org/wiki/The_Tempest_(2009_film),2010,Julie Taymor,"Helen Mirren, David Strathairn, Djimon Hounsou, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Felicity Jones, Alfred Molina, Ben Whishaw",Romance
Tooth Fairy,https://en.wikipedia.org/wiki/Tooth_Fairy_(2010_film),2010,Michael Lembeck,"Dwayne Johnson, Ashley Judd, Billy Crystal, Julie Andrews, Stephen Merchant, Ryan Sheckler","Family, Fantasy"
The Town,https://en.wikipedia.org/wiki/The_Town_(2010_film),2010,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Blake Lively, Jeremy Renner, Titus Welliver, Pete Postlethwaite, Chris Cooper, Slaine",Crime drama
The Tourist,https://en.wikipedia.org/wiki/The_Tourist_(2010_film),2010,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Rufus Sewell, Timothy Dalton, Steven Berkoff","Dramedy, Thriller"
Toy Story 3,https://en.wikipedia.org/wiki/Toy_Story_3,2010,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Timothy Dalton, Lori Alan, Kristen Schaal, Jeff Garlin, Bonnie Hunt, John Cygan, Jeff Pidgeon, Whoopi Goldberg, Jack Angel, R. Lee Ermey, Jan Rabson, Richard Kind",Family
Tron: Legacy,https://en.wikipedia.org/wiki/Tron:_Legacy,2010,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Bruce Boxleitner, Michael Sheen, Olivia Wilde, Beau Garrett, John Hurt",Science fiction
True Grit,https://en.wikipedia.org/wiki/True_Grit_(2010_film),2010,Joel and Ethan Coen,"Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper, Hailee Steinfeld",Western
Twelve,https://en.wikipedia.org/wiki/Twelve_(film),2010,Joel Schumacher,"Chace Crawford, Rory Culkin, Esti Ginzburg, Curtis ""50 Cent"" Jackson, Zoë Kravitz, Emily Meade, Ethan Peck, Emma Roberts, Charlie Saxton, Kiefer Sutherland (narrator), Ellen Barkin, Jermaine Crawford, Billy Magnussen, Nico Tortorella, Isiah Whitlock, Jr.",Drama
Unstoppable,https://en.wikipedia.org/wiki/Unstoppable_(2010_film),2010,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson",Action thriller
Valentine's Day,https://en.wikipedia.org/wiki/Valentine%27s_Day_(2010_film),2010,Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Héctor Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift",Romantic comedy
Vampires Suck,https://en.wikipedia.org/wiki/Vampires_Suck,2010,Jason Friedberg and Aaron Seltzer,"Matt Lanter, Chris Riggi, Jenn Proske, Annelise van der Pol, Ken Jeong",Spoof
 Waiting for Superman,https://en.wikipedia.org/wiki/Waiting_for_%22Superman%22,2010,Davis Guggenheim,The analyzation of the failing American public education system.,Documentary
Wall Street: Money Never Sleeps,https://en.wikipedia.org/wiki/Wall_Street:_Money_Never_Sleeps,2010,Oliver Stone,"Michael Douglas, Shia LaBeouf, Josh Brolin, Carey Mulligan, Eli Wallach, Susan Sarandon, Frank Langella, Vanessa Ferlito, Charlie Sheen",Drama
Welcome to the Rileys,https://en.wikipedia.org/wiki/Welcome_to_the_Rileys,2010,Jake Scott,"James Gandolfini, Kristen Stewart, Melissa Leo, Ally Sheedy",Drama
What If...,https://en.wikipedia.org/wiki/What_If..._(film),2010,Dallas Jenkins,"Kevin Sorbo, Kristy Swanson, Debby Ryan, John Ratzenberger",Comedy-drama
What's Wrong with Virginia,https://en.wikipedia.org/wiki/Virginia_(2010_film),2010,Dustin Lance Black,"Jennifer Connelly, Ed Harris, Emma Roberts, Carrie Preston, Toby Jones",Drama
When in Rome,https://en.wikipedia.org/wiki/When_in_Rome_(2010_film),2010,Mark Steven Johnson,"Kristen Bell, Josh Duhamel, Will Arnett, Jon Heder, Dax Shepard, Danny DeVito, Anjelica Huston",Romantic comedy
Why Did I Get Married Too?,https://en.wikipedia.org/wiki/Why_Did_I_Get_Married_Too%3F,2010,Tyler Perry,"Tyler Perry, Janet Jackson, Jill Scott, Malik Yoba, Richard T. Jones, Michael Jai White, Lamman Rucker, Sharon Leal, Tasha Smith, Denise Boutte, Keyshia Cole, Cicely Tyson, Louis Gossett, Jr.",Comedy-drama
Winnebago Man,https://en.wikipedia.org/wiki/Winnebago_Man,2010,Ben Steinbauer,The Jack Rebney-Winnebago outtakes internet phenomenon and its impact on people and the person itself.,Documentary
Winter's Bone,https://en.wikipedia.org/wiki/Winter%27s_Bone,2010,Debra Granik,"Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt, Sheryl Lee, Shelley Waggener, Laura Sweetser","Drama, Suspense thriller"
The Wolfman,https://en.wikipedia.org/wiki/The_Wolfman_(2010_film),2010,Joe Johnston,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving",Horror
Wonderful World,https://en.wikipedia.org/wiki/Wonderful_World_(2009_film),2010,Joshua Goldin,"Matthew Broderick, Sanaa Lathan, Michael Kenneth Williams, Jodelle Ferland, Jesse Tyler Ferguson, Ally Walker, Philip Baker Hall","Comedy-drama, Romance"
 Yogi Bear,https://en.wikipedia.org/wiki/Yogi_Bear_(film),2010,Eric Brevig,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh, T. J. Miller","Family, Live-action"
You Again,https://en.wikipedia.org/wiki/You_Again,2010,Andy Fickman,"Kristen Bell, Jamie Lee Curtis, Sigourney Weaver, Odette Yustman, Kristin Chenoweth, Victor Garber, Betty White, Kyle Bornheimer, Christine Lakin, Cloris Leachman",Comedy
You Will Meet a Tall Dark Stranger,https://en.wikipedia.org/wiki/You_Will_Meet_a_Tall_Dark_Stranger,2010,Woody Allen,"Antonio Banderas, Josh Brolin, Anthony Hopkins, Gemma Jones, Freida Pinto, Lucy Punch, Naomi Watts",Dramedy
Youth in Revolt,https://en.wikipedia.org/wiki/Youth_in_Revolt_(film),2010,Miguel Arteta,"Michael Cera, Portia Doubleday, Jean Smart, Mary Kay Place, Justin Long, Ray Liotta, Steve Buscemi, Zack Galifianakis, Ari Graynor, Fred Willard",Comedy-drama
11-11-11,https://en.wikipedia.org/wiki/11-11-11_(film),2011,Darren Lynn Bousman,"Timothy Gibbs, Michael Landes, Wendy Glenn, Benjamin Cook, Lolo Herrero, Salome Jimenez, Brendan Price, Denis Rafter, Angela Rosal, Lluis Soler",Horror thriller
30 Minutes or Less,https://en.wikipedia.org/wiki/30_Minutes_or_Less,2011,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Michael Peña, Fred Ward","Adventure, Comedy"
35 and Ticking,https://en.wikipedia.org/wiki/35_and_Ticking,2011,Russ Parr,"Tamala Jones, Nicole Ari Parker, Keith Robinson, Darius McCrary, Dondre Whitfield, Jill Marie Jones, Wendy Raquel Robinson, Kevin Hart, Meagan Good",Romantic comedy
50/50,https://en.wikipedia.org/wiki/50/50_(2011_film),2011,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston",Comedy-drama
Abduction,https://en.wikipedia.org/wiki/Abduction_(2011_film),2011,John Singleton,"Taylor Lautner, Lily Collins, Alfred Molina, Jason Isaacs, Maria Bello, Sigourney Weaver",Action thriller
The Adjustment Bureau,https://en.wikipedia.org/wiki/The_Adjustment_Bureau,2011,George Nolfi,"Matt Damon, Emily Blunt, Anthony Mackie, Shoreh Aghdashloo, John Slattery, Michael Kelly, Anthony Ruivivar, Terence Stamp","Romance, Science fiction, Thriller"
The Adventures of Tintin: The Secret of the Unicorn,https://en.wikipedia.org/wiki/The_Adventures_of_Tintin:_The_Secret_of_the_Unicorn,2011,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg, Nick Frost, Tony Curran, Toby Jones, Gad Elmaleh, Mackenzie Crook, Daniel Mays, Kim Stengel, Sebastian Roché, Cary Elwes, Phillip Rhys, Ron Bottitta","Action-adventure, Fantasy"
African Cats,https://en.wikipedia.org/wiki/African_Cats,2011,"Alastair Fothergill, Keith Scholey",Centers around two families of lions and cheetahs who teach their cubs the ways of the wild in surviving the African savannah. Narrated by Samuel L. Jackson,Nature documentary
Alvin and the Chipmunks: Chipwrecked,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked,2011,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long (voice), Matthew Gray Gubler (voice), Jesse McCartney (voice), Christina Applegate (voice), Anna Faris (voice), Amy Poehler (voice), Alan Tudyk (voice)","Family, Live-action"
Another Earth,https://en.wikipedia.org/wiki/Another_Earth,2011,Mike Cahill,"William Mapother, Brit Marling","Fantasy, Sci-fi drama"
Apollo 18,https://en.wikipedia.org/wiki/Apollo_18_(film),2011,Gonzalo Lopez-Gallego,"Lloyd Owen, Warren Christie","Horror, Science fiction"
The Art of Getting By,https://en.wikipedia.org/wiki/The_Art_of_Getting_By,2011,Gavin Wiesen,"Freddie Highmore, Emma Roberts, Michael Angarano, Elizabeth Reaser, Sam Robards, Alicia Silverstone, Rita Wilson, Blair Underwood","Romantic comedy, Teen"
Arthur,https://en.wikipedia.org/wiki/Arthur_(2011_film),2011,Jason Winer,"Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Nick Nolte, Luis Guzmán",Comedy
