Movie,URL,Year,Director,Cast,Genre
Miss Congeniality,https://en.wikipedia.org/wiki/Miss_Congeniality_(film),2000,Donald Petrie,"Sandra Bullock, Benjamin Bratt, Michael Caine, William Shatner, Candice Bergen",Comedy
Mission to Mars,https://en.wikipedia.org/wiki/Mission_to_Mars,2000,Brian De Palma,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen, Jerry O'Connell, Kim Delaney",Science fiction
Mission: Impossible II,https://en.wikipedia.org/wiki/Mission:_Impossible_II,2000,John Woo,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, Brendan Gleeson",Action
My Dog Skip,https://en.wikipedia.org/wiki/My_Dog_Skip_(film),2000,Jay Russell,"Frankie Muniz, Diane Lane, Luke Wilson, Kevin Bacon",Family
My 5 Wives,https://en.wikipedia.org/wiki/My_5_Wives,2000,Sidney J. Furie,"Rodney Dangerfield, Jerry Stiller, Molly Shannon",Comedy
 The Next Best Thing,https://en.wikipedia.org/wiki/The_Next_Best_Thing,2000,John Schlesinger,"Rupert Everett, Madonna, Benjamin Bratt",Comedy
Next Friday,https://en.wikipedia.org/wiki/Next_Friday,2000,Steve Carr,"Ice Cube, Mike Epps, Don Curry",Comedy
Nothin' 2 Lose,https://en.wikipedia.org/wiki/Nothin%27_2_Lose,2000,Barry Bowles,Brian Hooks,Comedy
Nutty Professor II: The Klumps,https://en.wikipedia.org/wiki/Nutty_Professor_II:_The_Klumps,2000,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, Wanda Sykes",Comedy
Nurse Betty,https://en.wikipedia.org/wiki/Nurse_Betty,2000,Neil LaBute,"Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear",Comedy
" O Brother, Where Art Thou?","https://en.wikipedia.org/wiki/O_Brother,_Where_Art_Thou%3F",2000,Joel and Ethan Coen,"George Clooney, Tim Blake Nelson, John Turturro, Holly Hunter, John Goodman, Charles Durning",Comedy
The Opportunists,https://en.wikipedia.org/wiki/The_Opportunists,2000,Myles Connell,"Christopher Walken, Vera Farmiga, Cyndi Lauper",Crime drama
The Original Kings of Comedy,https://en.wikipedia.org/wiki/The_Original_Kings_of_Comedy,2000,Spike Lee,"stand-up comedy of Steve Harvey, D. L. Hughley, Cedric the Entertainer, Bernie Mac",Documentary
Our Song,https://en.wikipedia.org/wiki/Our_Song_(film),2000,Jim McKay,"Kerry Washington, Melissa Martinez",Drama
 Panic,https://en.wikipedia.org/wiki/Panic_(2000_film),2000,Henry Bromell,"William H. Macy, Neve Campbell, Donald Sutherland",Crime drama
Passion of Mind,https://en.wikipedia.org/wiki/Passion_of_Mind,2000,Alain Berliner,"Demi Moore, Stellan Skarsgård",Drama
The Patriot,https://en.wikipedia.org/wiki/The_Patriot_(2000_film),2000,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tom Wilkinson",War
Pay It Forward,https://en.wikipedia.org/wiki/Pay_It_Forward_(film),2000,Mimi Leder,"Haley Joel Osment, Helen Hunt, Kevin Spacey, James Caviezel, Angie Dickinson, Jon Bon Jovi",Drama
The Perfect Storm,https://en.wikipedia.org/wiki/The_Perfect_Storm_(film),2000,Wolfgang Petersen,"George Clooney, Mark Wahlberg, Diane Lane, Mary Elizabeth Mastrantonio, John C. Reilly, Karen Allen",Adventure
Picking Up the Pieces,https://en.wikipedia.org/wiki/Picking_Up_the_Pieces_(film),2000,Alfonso Aráu,"Woody Allen, Sharon Stone, David Schwimmer",Comedy
Pitch Black,https://en.wikipedia.org/wiki/Pitch_Black_(film),2000,David Twohy,"Vin Diesel, Keith David, Cole Hauser",Science fiction
Pollock,https://en.wikipedia.org/wiki/Pollock_(film),2000,Ed Harris,"Ed Harris, Marcia Gay Harden, Jennifer Connelly",Biography
Poor White Trash,https://en.wikipedia.org/wiki/Poor_White_Trash_(film),2000,Michael Addis,"Sean Young, William Devane",Comedy
Price of Glory,https://en.wikipedia.org/wiki/Price_of_Glory,2000,Carlos Ávila,Jimmy Smits,Drama
Prince of Central Park,https://en.wikipedia.org/wiki/Prince_of_Central_Park,2000,John Leekley,"Kathleen Turner, Danny Aiello, Harvey Keitel",Family
Proof of Life,https://en.wikipedia.org/wiki/Proof_of_Life,2000,Taylor Hackford,"Russell Crowe, Meg Ryan, David Morse",Drama
Psycho Beach Party,https://en.wikipedia.org/wiki/Psycho_Beach_Party,2000,Robert Lee King,"Thomas Gibson, Lauren Ambrose, Charles Busch",Comedy
 Quills,https://en.wikipedia.org/wiki/Quills,2000,Philip Kaufman,"Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine","Drama, Biography"
 Ready to Rumble,https://en.wikipedia.org/wiki/Ready_to_Rumble,2000,Brian Robbins,"David Arquette, Oliver Platt, Scott Caan",Comedy
Red Planet,https://en.wikipedia.org/wiki/Red_Planet_(film),2000,Antony Hoffman,"Val Kilmer, Carrie-Anne Moss, Tom Sizemore",Science fiction
Reindeer Games,https://en.wikipedia.org/wiki/Reindeer_Games,2000,John Frankenheimer,"Ben Affleck, Gary Sinise, Charlize Theron",Crime drama
Remember the Titans,https://en.wikipedia.org/wiki/Remember_the_Titans,2000,Boaz Yakin,"Denzel Washington, Will Patton",Drama
The Replacements,https://en.wikipedia.org/wiki/The_Replacements_(film),2000,Howard Deutch,"Keanu Reeves, Gene Hackman, Brooke Langton",Comedy
Requiem for a Dream,https://en.wikipedia.org/wiki/Requiem_for_a_Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",Drama
Return to Me,https://en.wikipedia.org/wiki/Return_to_Me,2000,Bonnie Hunt,"Minnie Driver, David Duchovny, Carroll O'Connor",Romance
The Road to El Dorado,https://en.wikipedia.org/wiki/The_Road_to_El_Dorado,2000,"Bibo Bergeron, Will Finn","Kevin Kline, Kenneth Branagh, Rosie Perez",Animation
Road Trip,https://en.wikipedia.org/wiki/Road_Trip_(film),2000,Todd Phillips,"Breckin Meyer, Seann William Scott, Tom Green, DJ Qualls, Amy Smart",Comedy
Romeo Must Die,https://en.wikipedia.org/wiki/Romeo_Must_Die,2000,Andrzej Bartkowiak,"Jet Li, Aaliyah, Delroy Lindo",Action
Rugrats in Paris: The Movie,https://en.wikipedia.org/wiki/Rugrats_in_Paris:_The_Movie,2000,"Stig Berggvist, Paul Demeyer","Elizabeth Daily, Tara Strong, Cheryl Chase",Animation
Rules of Engagement,https://en.wikipedia.org/wiki/Rules_of_Engagement_(film),2000,William Friedkin,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce",War
 The Scarecrow,https://en.wikipedia.org/wiki/The_Scarecrow_(2000_film),2000,Richard Rich,"Shawn Hoffman, Belinda Montgomery, Ray Porter, Corey Feldman","Animation, Fantasy"
Scary Movie,https://en.wikipedia.org/wiki/Scary_Movie,2000,Keenen Ivory Wayans,"Marlon Wayans, Anna Faris, Carmen Electra",Comedy
Scottsboro: An American Tragedy,https://en.wikipedia.org/wiki/Scottsboro:_An_American_Tragedy,2000,"Daniel Anker, Barak Goodman",the Scottsboro Boys case,Documentary
Scream 3,https://en.wikipedia.org/wiki/Scream_3,2000,Wes Craven,"David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Emily Mortimer",Horror
Screwed,https://en.wikipedia.org/wiki/Screwed_(2000_film),2000,Scott Alexander and Larry Karaszewski,"Norm Macdonald, Dave Chappelle, Danny DeVito",Comedy
Seventeen Again,https://en.wikipedia.org/wiki/Seventeen_Again,2000,Jeffrey W. Byrd,"Tamera Mowry, Tia Mowry, Maia Campbell",Comedy
Sexy Beast,https://en.wikipedia.org/wiki/Sexy_Beast,2000,Jonathan Glazer,"Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman, James Fox",Crime drama
Shadow of the Vampire,https://en.wikipedia.org/wiki/Shadow_of_the_Vampire,2000,E. Elias Merhige,"John Malkovich, Willem Dafoe",Drama
Shaft,https://en.wikipedia.org/wiki/Shaft_(2000_film),2000,John Singleton,"Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Richard Roundtree, Christian Bale",Action
Shanghai Noon,https://en.wikipedia.org/wiki/Shanghai_Noon,2000,Tom Dey,"Jackie Chan, Owen Wilson, Lucy Liu",Comedy
