Movie,URL,Year,Director,Cast,Genre,Movie_ID
Spider-Man,https://en.wikipedia.org/wiki/Spider-Man_(2002_film),2002,Sam Raimi,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons",Superhero,616
Spirit: Stallion of the Cimarron,https://en.wikipedia.org/wiki/Spirit:_Stallion_of_the_Cimarron,2002,"Kelly Asbury, Lorna Cook","Matt Damon, James Cromwell, Daniel Studi",Animation,617
Spun,https://en.wikipedia.org/wiki/Spun,2002,Jonas Åkerlund,"Jason Schwartzman, Brittany Murphy, Mickey Rourke",Comedy,618
Spy Kids 2: The Island of Lost Dreams,https://en.wikipedia.org/wiki/Spy_Kids_2:_The_Island_of_Lost_Dreams,2002,Robert Rodriguez,"Alexa Vega, Emily Osment, Daryl Sabara, Antonio Banderas",Action,619
Star Wars: Episode II – Attack of the Clones,https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones,2002,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen",Science fiction,620
Star Trek Nemesis,https://en.wikipedia.org/wiki/Star_Trek_Nemesis,2002,Stuart Baird,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, Tom Hardy",Science fiction,621
State Property,https://en.wikipedia.org/wiki/State_Property_(film),2002,Abdul Malik Abbott,"Beanie Sigel, Jay-Z, Damon Dash",Crime drama,622
Stealing Harvard,https://en.wikipedia.org/wiki/Stealing_Harvard,2002,Bruce McCulloch,"Jason Lee, Tom Green, Leslie Mann, Megan Mullally, Tammy Blanchard",Comedy,623
Stevie,https://en.wikipedia.org/wiki/Stevie_(2002_film),2002,Steve James,the long-term relationships of Big Brothers Big Sisters of America,Documentary,624
Stolen Summer,https://en.wikipedia.org/wiki/Stolen_Summer,2002,Pete Jones,"Adiel Stein, Aidan Quinn, Bonnie Hunt",Drama,625
Stuart Little 2,https://en.wikipedia.org/wiki/Stuart_Little_2,2002,Rob Minkoff,"Geena Davis, Hugh Laurie, Jonathan Lipnicki, Michael J. Fox, Melanie Griffith, Nathan Lane, James Woods, Steve Zahn",Family,626
The Sum of All Fears,https://en.wikipedia.org/wiki/The_Sum_of_All_Fears_(film),2002,Phil Alden Robinson,"Ben Affleck, Morgan Freeman, James Cromwell",Thriller,627
Sunshine State,https://en.wikipedia.org/wiki/Sunshine_State_(film),2002,John Sayles,"Angela Bassett, Edie Falco",Drama,628
The Sweetest Thing,https://en.wikipedia.org/wiki/The_Sweetest_Thing,2002,Roger Kumble,"Cameron Diaz, Christina Applegate, Selma Blair",Comedy,629
Sweet Home Alabama,https://en.wikipedia.org/wiki/Sweet_Home_Alabama_(film),2002,Andy Tennant,"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen",Comedy,630
Swept Away,https://en.wikipedia.org/wiki/Swept_Away_(2002_film),2002,Guy Ritchie,"Madonna, Adriano Giannini, Bruce Greenwood, Jeanne Tripplehorn",Adventure,631
Swimfan,https://en.wikipedia.org/wiki/Swimfan,2002,John Polson,"Jesse Bradford, Erika Christensen, Shiri Appleby",Thriller,632
 Tadpole,https://en.wikipedia.org/wiki/Tadpole_(film),2002,Gary Winick,"Aaron Stanford, Bebe Neuwirth, Sigourney Weaver, John Ritter",Comedy,633
They,https://en.wikipedia.org/wiki/They_(2002_film),2002,Robert Harmon,"Laura Regan, Marc Blucas, Ethan Embry",Horror,634
Time Changer,https://en.wikipedia.org/wiki/Time_Changer,2002,Rich Christiano,"D. David Morin, Gavin MacLeod",Science fiction,635
The Time Machine,https://en.wikipedia.org/wiki/The_Time_Machine_(2002_film),2002,Simon Wells,"Guy Pearce, Samantha Mumba, Jeremy Irons, Mark Addy",Science fiction,636
Timequest,https://en.wikipedia.org/wiki/Timequest_(film),2002,Robert Dyke,"Victor Slezak, Caprice Benedetti, Bruce Campbell",Science fiction,637
The Transporter,https://en.wikipedia.org/wiki/The_Transporter,2002,Corey Yuen,"Jason Statham, Shu Qi, Matt Schulze",Action,638
Trapped,https://en.wikipedia.org/wiki/Trapped_(2002_film),2002,Luis Mandoki,"Charlize Theron, Courtney Love, Stuart Townsend, Kevin Bacon, Dakota Fanning",Crime,639
Treasure Planet,https://en.wikipedia.org/wiki/Treasure_Planet,2002,"Ron Clements, John Musker","Joseph Gordon-Levitt, Brian Murray, David Hyde Pierce",Animation,640
The Trials of Henry Kissinger,https://en.wikipedia.org/wiki/The_Trials_of_Henry_Kissinger,2002,Eugene Jarecki,the alleged war crimes of Henry Kissinger,Documentary,641
The Truth About Charlie,https://en.wikipedia.org/wiki/The_Truth_About_Charlie,2002,Jonathan Demme,"Mark Wahlberg, Thandie Newton, Tim Robbins",Thriller,642
Tuck Everlasting,https://en.wikipedia.org/wiki/Tuck_Everlasting_(2002_film),2002,Jay Russell,"Alexis Bledel, Jonathan Jackson, William Hurt, Sissy Spacek",Drama,643
The Tuxedo,https://en.wikipedia.org/wiki/The_Tuxedo,2002,Kevin Donovan,"Jackie Chan, Jennifer Love Hewitt, Jason Isaacs","Action, Comedy",644
Two Weeks Notice,https://en.wikipedia.org/wiki/Two_Weeks_Notice,2002,Marc Lawrence,"Sandra Bullock, Hugh Grant",Comedy,645
 Undercover Brother,https://en.wikipedia.org/wiki/Undercover_Brother,2002,Malcolm D. Lee,"Eddie Griffin, Chris Kattan, Dave Chappelle",Action,646
Undisputed,https://en.wikipedia.org/wiki/Undisputed_(film),2002,Walter Hill,"Wesley Snipes, Ving Rhames, Peter Falk",Drama,647
Unfaithful,https://en.wikipedia.org/wiki/Unfaithful_(2002_film),2002,Adrian Lyne,"Diane Lane, Richard Gere, Olivier Martinez",Thriller,648
 Waking Up in Reno,https://en.wikipedia.org/wiki/Waking_Up_in_Reno,2002,Jordan Brady,"Natasha Richardson, Billy Bob Thornton, Charlize Theron, Patrick Swayze",Comedy,649
A Walk to Remember,https://en.wikipedia.org/wiki/A_Walk_to_Remember,2002,Adam Shankman,"Shane West, Mandy Moore, Peter Coyote, Daryl Hannah",Romance,650
We Were Soldiers,https://en.wikipedia.org/wiki/We_Were_Soldiers,2002,Randall Wallace,"Mel Gibson, Sam Elliott, Madeleine Stowe",War,651
Welcome to Collinwood,https://en.wikipedia.org/wiki/Welcome_to_Collinwood,2002,"Anthony Russo, Joe Russo","William H. Macy, Isaiah Washington, Michael Jeter","Crime, Comedy",652
White Oleander,https://en.wikipedia.org/wiki/White_Oleander_(film),2002,Peter Kosminsky,"Alison Lohman, Michelle Pfeiffer, Robin Wright, Renee Zellweger",Drama,653
The Wild Thornberrys Movie,https://en.wikipedia.org/wiki/The_Wild_Thornberrys_Movie,2002,"Cathy Malkasian, Jeff McGrath","Lacey Chabert, Tom Kane, Tim Curry, Ice-T",Animation,654
Windtalkers,https://en.wikipedia.org/wiki/Windtalkers,2002,John Woo,"Nicolas Cage, Christian Slater, Adam Beach",War,655
 xXx,https://en.wikipedia.org/wiki/XXx_(film),2002,Rob Cohen,"Vin Diesel, Asia Argento, Marton Csokas",Action,656
 Zig Zag,https://en.wikipedia.org/wiki/Zig_Zag_(2002_film),2002,David S. Goyer,"John Leguizamo, Wesley Snipes, Oliver Platt",Drama,657
 11:14,https://en.wikipedia.org/wiki/11:14,2003,Greg Marcks,"Henry Thomas, Blake Heron, Barbara Hershey, Clark Gregg",Crime drama,658
101 Dalmatians II: Patch's London Adventure,https://en.wikipedia.org/wiki/101_Dalmatians_II:_Patch%27s_London_Adventure,2003,Jim Kammerud,"Barry Bostwick, Jason Alexander, Martin Short",Animated,659
2 Fast 2 Furious,https://en.wikipedia.org/wiki/2_Fast_2_Furious,2003,John Singleton,"Paul Walker, Tyrese Gibson, Eva Mendes, Ludacris, Cole Hauser, James Remar, Devon Aoki","Action, crime",660
21 Grams,https://en.wikipedia.org/wiki/21_Grams,2003,Alejandro González Iñárritu,"Sean Penn, Naomi Watts, Benicio del Toro",Crime drama,661
44 Minutes: The North Hollywood Shoot-Out,https://en.wikipedia.org/wiki/44_Minutes:_The_North_Hollywood_Shoot-Out,2003,Yves Simoneau,"Michael Madsen, Ron Livingston",Action,662
 Abby Singer,https://en.wikipedia.org/wiki/Abby_Singer_(film),2003,Ryan Williams,"Clint J. Palmer, Ryan Williams, Wendy Buss","Comedy, drama",663
Afro-Punk,https://en.wikipedia.org/wiki/Afro-Punk_(film),2003,James Spooner,race identity within punk subculture,Documentary,664
Agent Cody Banks,https://en.wikipedia.org/wiki/Agent_Cody_Banks,2003,Harald Zwart,"Frankie Muniz, Hilary Duff","Action, family",665
Aileen: Life and Death of a Serial Killer,https://en.wikipedia.org/wiki/Aileen:_Life_and_Death_of_a_Serial_Killer,2003,"Nick Broomfield, Joan Churchill",the life of Aileen Wuornos,Documentary,666
Alex & Emma,https://en.wikipedia.org/wiki/Alex_%26_Emma,2003,Rob Reiner,"Kate Hudson, Luke Wilson, Sophie Marceau",Romantic comedy,667
Alien Hunter,https://en.wikipedia.org/wiki/Alien_Hunter,2003,Ron Krauss,James Spader,"Action, sci-fi",668
All the Real Girls,https://en.wikipedia.org/wiki/All_the_Real_Girls,2003,David Gordon Green,"Paul Schneider, Zooey Deschanel, Shea Whigham","Drama, romance",669
Amandla!: A Revolution in Four-Part Harmony,https://en.wikipedia.org/wiki/Amandla!:_A_Revolution_in_Four-Part_Harmony,2003,Lee Hirsch,the use of music against South Africa under apartheid,Documentary,670
American Splendor,https://en.wikipedia.org/wiki/American_Splendor_(film),2003,"Robert Pulcini, Shari Springer Berman","Paul Giamatti, Hope Davis",Comedy-drama,671
American Wedding,https://en.wikipedia.org/wiki/American_Wedding,2003,Jesse Dylan,"Jason Biggs, Seann William Scott, Alyson Hannigan, Eugene Levy, Fred Willard, January Jones",Comedy,672
Anger Management,https://en.wikipedia.org/wiki/Anger_Management_(film),2003,Peter Segal,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Woody Harrelson, John Turturro",Comedy,673
Anne B. Real,https://en.wikipedia.org/wiki/Anne_B._Real,2003,Lisa France,"David Zayas, Carlos Leon",Drama,674
Anything Else,https://en.wikipedia.org/wiki/Anything_Else,2003,Woody Allen,"Jason Biggs, Christina Ricci, Stockard Channing, Danny DeVito, Jimmy Fallon, Woody Allen",Romantic comedy,675
 BAADASSSSS!,https://en.wikipedia.org/wiki/BAADASSSSS!,2003,Mario Van Peebles,"Mario Van Peebles, Adam West","Biography, drama",676
Bad Boys II,https://en.wikipedia.org/wiki/Bad_Boys_II,2003,Michael Bay,"Martin Lawrence, Will Smith",Action comedy,677
Bad Santa,https://en.wikipedia.org/wiki/Bad_Santa,2003,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham","Comedy, Crime",678
Basic,https://en.wikipedia.org/wiki/Basic_(film),2003,John McTiernan,"John Travolta, Connie Nielsen, Samuel L. Jackson",Thriller,679
The Battle of Shaker Heights,https://en.wikipedia.org/wiki/The_Battle_of_Shaker_Heights,2003,"Efram Potelle, Kyle Rankin","Shia La Beouf, Elden Henson, Amy Smart",Comedy-drama,680
Bells of Innocence,https://en.wikipedia.org/wiki/Bells_of_Innocence,2003,Alin Bijan,"Mike Norris, Marshall R. Teague, Chuck Norris",Horror,681
The Best Two Years,https://en.wikipedia.org/wiki/The_Best_Two_Years,2003,Scott S. Anderson,"K.C. Clyde, Kirby Heyborne, David Nibley",Comedy-drama,682
Beyond Borders,https://en.wikipedia.org/wiki/Beyond_Borders_(film),2003,Martin Campbell,"Angelina Jolie, Clive Owen","Romance, War",683
Big Fish,https://en.wikipedia.org/wiki/Big_Fish,2003,Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup, Danny DeVito, Alison Lohman, Jessica Lange","Comedy-drama, fantasy",684
Biker Boyz,https://en.wikipedia.org/wiki/Biker_Boyz,2003,Reggie Rock Bythewood,"Laurence Fishburne, Djimon Hounsou, Derek Luke",Action,685
Black Cadillac,https://en.wikipedia.org/wiki/Black_Cadillac_(film),2003,John Murlowski,"Randy Quaid, Shane Johnson, Josh Hammond",Horror,686
Blind Horizon,https://en.wikipedia.org/wiki/Blind_Horizon,2003,Michael Haussman,"Val Kilmer, Neve Campbell, Sam Shepard",Drama,687
Blizzard,https://en.wikipedia.org/wiki/Blizzard_(film),2003,LeVar Burton,"Brenda Blethyn, Christopher Plummer, Kevin Pollak",Family,688
Boat Trip,https://en.wikipedia.org/wiki/Boat_Trip_(film),2003,Mort Nathan,"Cuba Gooding, Jr., Horatio Sanz, Vivica A. Fox, Roselyn Sánchez, Victoria Silvstedt, Roger Moore",Comedy,689
Bringing Down the House,https://en.wikipedia.org/wiki/Bringing_Down_the_House_(film),2003,Adam Shankman,"Steve Martin, Queen Latifah, Eugene Levy",Crime comedy,690
Bringing Rain,https://en.wikipedia.org/wiki/Bringing_Rain,2003,Noah Buschel,"Adrian Grenier, Niesha Butler","Drama, romance",691
Brother Bear,https://en.wikipedia.org/wiki/Brother_Bear,2003,"Aaron Blaise, Bob Walker","Joaquin Phoenix, Jeremy Suarez, Rick Moranis","Animation, Family",692
The Brown Bunny,https://en.wikipedia.org/wiki/The_Brown_Bunny,2003,Vincent Gallo,"Vincent Gallo, Chloë Sevigny",Drama,693
Bruce Almighty,https://en.wikipedia.org/wiki/Bruce_Almighty,2003,Tom Shadyac,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Steve Carell","Comedy, Fantasy",694
Bulletproof Monk,https://en.wikipedia.org/wiki/Bulletproof_Monk,2003,Paul Hunter,"Chow Yun-fat, Seann William Scott, Jaime King","Action, comedy",695
 Camp,https://en.wikipedia.org/wiki/Camp_(2003_film),2003,Todd Graff,"Daniel Letterle, Joanna Chilcoat, Robin de Jesus","Comedy, Musical",696
Carolina,https://en.wikipedia.org/wiki/Carolina_(2003_film),2003,Marleen Gorris,"Julia Stiles, Shirley MacLaine, Alessandro Nivola",Romantic comedy,697
Casa de los Babys,https://en.wikipedia.org/wiki/Casa_de_los_Babys,2003,John Sayles,"Marcia Gay Harden, Maggie Gyllenhaal, Daryl Hannah",Drama,698
The Cat in the Hat,https://en.wikipedia.org/wiki/The_Cat_in_the_Hat_(film),2003,Bo Welch,"Mike Myers, Alec Baldwin, Dakota Fanning, Spencer Breslin, Kelly Preston, Sean Hayes",Family,699
Charlie's Angels: Full Throttle,https://en.wikipedia.org/wiki/Charlie%27s_Angels:_Full_Throttle,2003,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Demi Moore",Action comedy,700
Chasing Papi,https://en.wikipedia.org/wiki/Chasing_Papi,2003,Linda Mendoza,"Roselyn Sánchez, Sofía Vergara, Jaci Velasquez, Eduardo Verástegui",Comedy,701
Cheaper by the Dozen,https://en.wikipedia.org/wiki/Cheaper_by_the_Dozen_(2003_film),2003,Shawn Levy,"Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling, Piper Perabo, Ashton Kutcher","Comedy, Family",702
Christmas Child,https://en.wikipedia.org/wiki/Christmas_Child,2003,Bill Ewing,"William R. Moses, Steven Curtis Chapman, Megan Follows",Drama,703
Coffee and Cigarettes,https://en.wikipedia.org/wiki/Coffee_and_Cigarettes,2003,Jim Jarmusch,"Roberto Benigni, Steven Wright, Joie Lee",Comedy-drama,704
Cold Creek Manor,https://en.wikipedia.org/wiki/Cold_Creek_Manor,2003,Mike Figgis,"Dennis Quaid, Sharon Stone, Stephen Dorff, Juliette Lewis","Drama, Thriller",705
Cold Mountain,https://en.wikipedia.org/wiki/Cold_Mountain_(film),2003,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger","Romance, war",706
Comandante,https://en.wikipedia.org/wiki/Comandante,2003,Oliver Stone,the politics of Fidel Castro,Documentary,707
The Company,https://en.wikipedia.org/wiki/The_Company_(film),2003,Robert Altman,"Neve Campbell, Malcolm McDowell, James Franco","Drama, musical",708
Confidence,https://en.wikipedia.org/wiki/Confidence_(2003_film),2003,James Foley,"Edward Burns, Rachel Weisz, Dustin Hoffman, Andy García, Paul Giamatti, Robert Forster",Crime,709
The Cooler,https://en.wikipedia.org/wiki/The_Cooler,2003,Wayne Kramer,"William H. Macy, Maria Bello, Alec Baldwin","Drama, Romance",710
The Core,https://en.wikipedia.org/wiki/The_Core,2003,Jon Amiel,"Aaron Eckhart, Hilary Swank, Delroy Lindo, Stanley Tucci, Tchéky Karyo, Bruce Greenwood, DJ Qualls, Richard Jenkins, Alfre Woodard","Action, sci-fi",711
Cosmopolitan,https://en.wikipedia.org/wiki/Cosmopolitan_(film),2003,Nisha Ganatra,"Roshan Seth, Carol Kane, Madhur Jaffrey, Purva Bedi","Comedy-drama, romance",712
Cradle 2 the Grave,https://en.wikipedia.org/wiki/Cradle_2_the_Grave,2003,Andrzej Bartkowiak,"Jet Li, DMX, Kelly Hu, Anthony Anderson, Tom Arnold, Mark Dacascos, Gabrielle Union",Action,713
Crime Spree,https://en.wikipedia.org/wiki/Crime_Spree,2003,Brad Mirman,"Gérard Depardieu, Harvey Keitel, Johnny Hallyday","Comedy, crime",714
 Daddy Day Care,https://en.wikipedia.org/wiki/Daddy_Day_Care,2003,Steve Carr,"Eddie Murphy, Jeff Garlin, Steve Zahn, Regina King, Anjelica Huston","Comedy, Family",715
Daredevil,https://en.wikipedia.org/wiki/Daredevil_(film),2003,Mark Steven Johnson,"Ben Affleck, Jennifer Garner, Michael Clarke Duncan, Colin Farrell, Jon Favreau, Joe Pantoliano, David Keith",Superhero,716
Dark Blue,https://en.wikipedia.org/wiki/Dark_Blue_(film),2003,Ron Shelton,"Kurt Russell, Scott Speedman, Michael Michele, Brendan Gleeson, Ving Rhames, Kurupt",Crime drama,717
Darkness Falls,https://en.wikipedia.org/wiki/Darkness_Falls_(2003_film),2003,Jonathan Liebesman,"Chaney Kley, Emma Caulfield, Lee Cormie",Horror,718
Deliver Us from Eva,https://en.wikipedia.org/wiki/Deliver_Us_from_Eva,2003,Gary Hardwick,"LL Cool J, Gabrielle Union",Romantic comedy,719
Devil's Pond,https://en.wikipedia.org/wiki/Devil%27s_Pond,2003,Joel Viertel,"Tara Reid, Kip Pardue",Drama,720
Dickie Roberts: Former Child Star,https://en.wikipedia.org/wiki/Dickie_Roberts:_Former_Child_Star,2003,Sam Weisman,"David Spade, Mary McCormack",Comedy,721
Le Divorce,https://en.wikipedia.org/wiki/Le_Divorce,2003,James Ivory,"Kate Hudson, Naomi Watts","Drama, romance",722
Down with Love,https://en.wikipedia.org/wiki/Down_with_Love,2003,Peyton Reed,"Ewan McGregor, Renée Zellweger, David Hyde Pierce",Romantic comedy,723
Dreamcatcher,https://en.wikipedia.org/wiki/Dreamcatcher_(2003_film),2003,Lawrence Kasdan,"Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis, Timothy Olyphant, Tom Sizemore, Donnie Wahlberg","Horror, Science fiction",724
Dumb and Dumberer: When Harry Met Lloyd,https://en.wikipedia.org/wiki/Dumb_and_Dumberer:_When_Harry_Met_Lloyd,2003,Troy Miller,"Derek Richardson, Eric Christian Olsen, Eugene Levy",Comedy,725
Duplex,https://en.wikipedia.org/wiki/Duplex_(film),2003,Danny DeVito,"Ben Stiller, Drew Barrymore, Eileen Essell, Harvey Fierstein",Comedy,726
Dysfunktional Family,https://en.wikipedia.org/wiki/Dysfunktional_Family,2003,George Gallo,Eddie Griffin,Performance film,727
 Elephant,https://en.wikipedia.org/wiki/Elephant_(2003_film),2003,Gus Van Sant,"Alex Frost, Eric Deulen, John Robinson","Crime, drama",728
Elf,https://en.wikipedia.org/wiki/Elf_(film),2003,Jon Favreau,"Will Ferrell, James Caan, Zooey Deschanel, Mary Steenburgen, Bob Newhart, Ed Asner","Comedy, Family",729
Evil Alien Conquerors,https://en.wikipedia.org/wiki/Evil_Alien_Conquerors,2003,Chris Matheson,"Diedrich Bader, Chris Parnell","Science fiction, comedy",730
 Faster,https://en.wikipedia.org/wiki/Faster_(2003_film),2003,Mark Neale,"the motorcycle racing world championship, MotoGP",Documentary,731
Festival Express,https://en.wikipedia.org/wiki/Festival_Express,2003,Bob Smeaton,the Trans Continental Pop Festival,Rockumentary,732
The Fighting Temptations,https://en.wikipedia.org/wiki/The_Fighting_Temptations,2003,Jonathan Lynn,"Cuba Gooding, Jr., Beyoncé Knowles","Musical, Comedy",733
Final Destination 2,https://en.wikipedia.org/wiki/Final_Destination_2,2003,David R. Ellis,"Ali Larter, A. J. Cook, Michael Landes, Tony Todd",Horror,734
Finding Nemo,https://en.wikipedia.org/wiki/Finding_Nemo,2003,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould","Animation, family",735
Flywheel,https://en.wikipedia.org/wiki/Flywheel_(film),2003,Alex Kendrick,"Lisa Arnold, Alex Kendrick, Tracy Goode",Drama,736
The Fog of War,https://en.wikipedia.org/wiki/The_Fog_of_War,2003,Errol Morris,life and times of Robert McNamara,Documentary,737
Freaky Friday,https://en.wikipedia.org/wiki/Freaky_Friday_(2003_film),2003,Mark Waters,"Lindsay Lohan, Jamie Lee Curtis, Chad Michael Murray, Mark Harmon",Family,738
Freddy vs. Jason,https://en.wikipedia.org/wiki/Freddy_vs._Jason,2003,Ronny Yu,"Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter",Horror,739
From Justin to Kelly,https://en.wikipedia.org/wiki/From_Justin_to_Kelly,2003,Robert Iscove,"Justin Guarini, Kelly Clarkson","Comedy, Musical",740
 Gang of Roses,https://en.wikipedia.org/wiki/Gang_of_Roses,2003,Jean-Claude La Marre,"Lil' Kim, LisaRaye McCoy, Marie Matiko","Drama, Western",741
Gigli,https://en.wikipedia.org/wiki/Gigli,2003,Martin Brest,"Ben Affleck, Jennifer Lopez, Al Pacino, Justin Bartha, Christopher Walken, Lainie Kazan, Lenny Venito, Missy Crider","Crime, Comedy",742
Gods and Generals,https://en.wikipedia.org/wiki/Gods_and_Generals_(film),2003,Ronald F. Maxwell,"Jeff Daniels, Stephen Lang, Robert Duvall","Drama, war",743
Good Boy!,https://en.wikipedia.org/wiki/Good_Boy!,2003,John Hoffman,"Liam Aiken, Molly Shannon, Kevin Nealon, Matthew Broderick",Comedy,744
Gothika,https://en.wikipedia.org/wiki/Gothika,2003,Mathieu Kassovitz,"Halle Berry, Robert Downey, Jr., Penélope Cruz, Charles S. Dutton",Horror,745
Grand Theft Parsons,https://en.wikipedia.org/wiki/Grand_Theft_Parsons,2003,David Caffrey,"Johnny Knoxville, Michael Shannon, Christina Applegate",Comedy-drama,746
Grind,https://en.wikipedia.org/wiki/Grind_(2003_film),2003,Casey La Scala,"Mike Vogel, Adam Brody, Vince Vieluf, Joey Kern","Comedy, sports",747
A Guy Thing,https://en.wikipedia.org/wiki/A_Guy_Thing,2003,Chris Koch,"Jason Lee, Julia Stiles, Selma Blair",Romantic comedy,748
 The Haunted Mansion,https://en.wikipedia.org/wiki/The_Haunted_Mansion_(film),2003,Rob Minkoff,Eddie Murphy,"Family, fantasy",749
Head of State,https://en.wikipedia.org/wiki/Head_of_State_(film),2003,Chris Rock,"Chris Rock, Bernie Mac, Tracy Morgan",Comedy,750
Hey DJ,https://en.wikipedia.org/wiki/Hey_DJ_(film),2003,3 directors,"Charlotte Lewis, Tina Wiseman, Terry Camilleri, Jon Jacobs",Comedy,751
Holes,https://en.wikipedia.org/wiki/Holes_(film),2003,Andrew Davis,"Shia LaBeouf, Jon Voight, Sigourney Weaver, Tim Blake Nelson, Patricia Arquette, Henry Winkler","Comedy, family",752
Hollywood Homicide,https://en.wikipedia.org/wiki/Hollywood_Homicide,2003,Ron Shelton,"Harrison Ford, Josh Hartnett, Lena Olin, Bruce Greenwood, Lolita Davidovich, Dwight Yoakam, Master P, Martin Landau",Crime comedy,753
Honey,https://en.wikipedia.org/wiki/Honey_(2003_film),2003,Bille Woodruff,"Jessica Alba, Mekhi Phifer, Lil' Romeo","Musical, romance",754
Hope Springs,https://en.wikipedia.org/wiki/Hope_Springs_(2003_film),2003,Mark Herman,"Colin Firth, Heather Graham, Minnie Driver",Romantic comedy,755
House of 1000 Corpses,https://en.wikipedia.org/wiki/House_of_1000_Corpses,2003,Rob Zombie,"Sid Haig, Bill Moseley, Erin Daniels","Comedy, horror",756
House of Sand and Fog,https://en.wikipedia.org/wiki/House_of_Sand_and_Fog_(film),2003,Vadim Perelman,"Jennifer Connelly, Ben Kingsley, Shohreh Agdashloo",Drama,757
House of the Dead,https://en.wikipedia.org/wiki/House_of_the_Dead_(film),2003,Uwe Boll,"Jonathan Cherry, Ona Grauer, Tyron Leitso, Jürgen Prochnow, Ellie Cornell, Clint Howard, Enuka Okuma, Will Sanderson, Kira Clavell, Michael Eklund",Horror,758
How to Deal,https://en.wikipedia.org/wiki/How_to_Deal,2003,Clare Kilner,"Mandy Moore, Allison Janney, Trent Ford",Romantic comedy,759
How to Lose a Guy in 10 Days,https://en.wikipedia.org/wiki/How_to_Lose_a_Guy_in_10_Days,2003,Donald Petrie,"Kate Hudson, Matthew McConaughey",Romantic comedy,760
Hulk,https://en.wikipedia.org/wiki/Hulk_(film),2003,Ang Lee,"Eric Bana, Jennifer Connelly, Nick Nolte, Sam Elliott, Josh Lucas","Superhero, Action",761
The Human Stain,https://en.wikipedia.org/wiki/The_Human_Stain_(film),2003,Robert Benton,"Anthony Hopkins, Nicole Kidman",Romance,762
The Hunted,https://en.wikipedia.org/wiki/The_Hunted_(2003_film),2003,William Friedkin,"Tommy Lee Jones, Benicio del Toro, Connie Nielsen","Action, drama",763
 I Am David,https://en.wikipedia.org/wiki/I_Am_David_(film),2003,Paul Feig,"Jim Caviezel, Ben Tibber, Joan Plowright",Drama,764
Identity,https://en.wikipedia.org/wiki/Identity_(film),2003,James Mangold,"John Cusack, Ray Liotta, Amanda Peet, Clea DuVall, Rebecca De Mornay",Horror,765
Imagining Argentina,https://en.wikipedia.org/wiki/Imagining_Argentina_(film),2003,Christopher Hampton,"Antonio Banderas, Emma Thompson","Drama, romance",766
In the Cut,https://en.wikipedia.org/wiki/In_the_Cut,2003,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh",Crime drama,767
The In-Laws,https://en.wikipedia.org/wiki/The_In-Laws_(2003_film),2003,Andrew Fleming,"Michael Douglas, Albert Brooks, David Suchet, Candice Bergen, Ryan Reynolds, Robin Tunney","Action, comedy",768
Indigo,https://en.wikipedia.org/wiki/Indigo_(film),2003,Stephen Simon,"Neale Donald Walsch, Dane Bowman",Drama,769
Intolerable Cruelty,https://en.wikipedia.org/wiki/Intolerable_Cruelty,2003,Joel and Ethan Coen,"George Clooney, Catherine Zeta-Jones",Crime comedy,770
It Runs in the Family,https://en.wikipedia.org/wiki/It_Runs_in_the_Family_(2003_film),2003,Fred Schepisi,"Michael Douglas, Kirk Douglas",Drama,771
The Italian Job,https://en.wikipedia.org/wiki/The_Italian_Job_(2003_film),2003,F. Gary Gray,"Mark Wahlberg, Charlize Theron, Edward Norton, Donald Sutherland, Seth Green, Jason Statham, Mos Def, Franky G","Action, Crime",772
 Jeepers Creepers II,https://en.wikipedia.org/wiki/Jeepers_Creepers_II,2003,Victor Salva,"Ray Wise, Jonathan Breck, Nicki Lynn Aycox",Horror,773
The Jungle Book 2,https://en.wikipedia.org/wiki/The_Jungle_Book_2,2003,Steven Trenbirth,"John Goodman, Haley Joel Osment, Mae Whitman",Animation,774
Just Married,https://en.wikipedia.org/wiki/Just_Married,2003,Shawn Levy,"Ashton Kutcher, Brittany Murphy",Romantic comedy,775
 Kangaroo Jack,https://en.wikipedia.org/wiki/Kangaroo_Jack,2003,David McNally,"Jerry O'Connell, Anthony Anderson, Estella Warren, Christopher Walken",Crime comedy,776
